FROM_DATE,STORE_CODE,MODULE_TYPE,MODULE_NAME,AREA,FLOOR_NAME,INDEX,MODULE_SIZE_WIDTH,MODULE_SIZE_HEIGHT,M2_MODULE
2024-01-01,CHA002,CASHIER_COUNTER,CASHIER_BACK,NORMAL,1, 1.7544 ,150,120,1.8
2024-01-01,CHA002,CASHIER_COUNTER,CASHIER_FRONT,NORMAL,1, 1.8182 ,105,90,0.945
2024-01-01,CHA002,FLOOR,FLOOR,NORMAL,1, 1.0000 ,168.55,100,1.6855
2024-01-01,CHA002,GASHAPON_DISPLAY,GASHAPON,NORMAL,1, 1.0000 ,240,130,3.12
2024-01-01,CHA002,GONDOLA,CC_1,NORMAL,1, 1.2500 ,660,200,13.2
2024-01-01,CHA002,GONDOLA,CC_2,NORMAL,1, 1.2500 ,540,120,6.48
2024-01-01,CHA002,GONDOLA,CC_3,NORMAL,1, 1.2500 ,600,120,7.2
2024-01-01,CHA002,GONDOLA,G10,NORMAL,1, 1.2500 ,120,120,1.44
2024-01-01,CHA002,GONDOLA,G11,NORMAL,1, 1.2500 ,120,120,1.44
2024-01-01,CHA002,GONDOLA,G12,NORMAL,1, 1.2500 ,90,120,1.08
2024-01-01,CHA002,GONDOLA,G13,NORMAL,1, 1.2500 ,90,120,1.08
2024-01-01,CHA002,GONDOLA,G14,NORMAL,1, 1.2500 ,120,120,1.44
2024-01-01,CHA002,GONDOLA,G15,NORMAL,1, 1.2500 ,120,120,1.44
2024-01-01,CHA002,GONDOLA,G16,NORMAL,1, 1.2500 ,120,120,1.44
2024-01-01,CHA002,GONDOLA,G17,NORMAL,1, 1.2500 ,120,120,1.44
2024-01-01,CHA002,GONDOLA,G18,NORMAL,1, 1.2500 ,120,120,1.44
2024-01-01,CHA002,GONDOLA,G19,NORMAL,1, 1.2500 ,120,120,1.44
2024-01-01,CHA002,GONDOLA,G20,NORMAL,1, 1.2500 ,90,120,1.08
2024-01-01,CHA002,GONDOLA,G21,NORMAL,1, 1.2500 ,90,120,1.08
2024-01-01,CHA002,GONDOLA,G22,NORMAL,1, 1.2500 ,120,120,1.44
2024-01-01,CHA002,GONDOLA,G23,NORMAL,1, 1.2500 ,120,120,1.44
2024-01-01,CHA002,GONDOLA,G24,NORMAL,1, 1.2500 ,120,120,1.44
2024-01-01,CHA002,GONDOLA,G25,NORMAL,1, 1.2500 ,120,120,1.44
2024-01-01,CHA002,GONDOLA,G26,NORMAL,1, 1.2500 ,90,120,1.08
2024-01-01,CHA002,GONDOLA,G27,NORMAL,1, 1.2500 ,90,120,1.08
2024-01-01,CHA002,GONDOLA,G28,NORMAL,1, 1.2500 ,120,120,1.44
2024-01-01,CHA002,GONDOLA,G29,NORMAL,1, 1.2500 ,120,120,1.44
2024-01-01,CHA002,GONDOLA,G3,NORMAL,1, 1.2500 ,120,120,1.44
2024-01-01,CHA002,GONDOLA,G30,NORMAL,1, 1.2500 ,120,120,1.44
2024-01-01,CHA002,GONDOLA,G31,NORMAL,1, 1.2500 ,120,120,1.44
2024-01-01,CHA002,GONDOLA,G32,NORMAL,1, 1.2500 ,120,120,1.44
2024-01-01,CHA002,GONDOLA,G33,NORMAL,1, 1.2500 ,120,120,1.44
2024-01-01,CHA002,GONDOLA,G34,NORMAL,1, 1.2500 ,90,120,1.08
2024-01-01,CHA002,GONDOLA,G35,NORMAL,1, 1.2500 ,90,120,1.08
2024-01-01,CHA002,GONDOLA,G36,NORMAL,1, 1.2500 ,120,120,1.44
2024-01-01,CHA002,GONDOLA,G37,NORMAL,1, 1.2500 ,120,120,1.44
2024-01-01,CHA002,GONDOLA,G38,NORMAL,1, 1.2500 ,120,120,1.44
